BOWLING,OVERS,MAIDEN,WICKETS,ECONOMY,ZEROES,WIDE BALLS,NO BALLS,BOWLING_TEAM
Kagiso Rabada,10,1,1,4.8,33,0,0,South-Africa
Keshav Maharaj,10,0,1,3,32,1,0,South-Africa
Tabraiz Shamsi,10,0,1,7.2,22,7,1,South-Africa
Aiden Markram,2,0,0,8.5,4,1,0,South-Africa
Jasprit Bumrah,5,0,0,2.8,23,1,0,India
Mohammed Siraj,4,1,1,2.75,18,0,0,India
Ravindra Jadeja,9,1,5,3.66,37,0,0,India
Mohammed Shami,4,0,2,4.5,16,1,0,India
Kuldeep Yadav,5.1,1,2,1.35,24,0,0,India
Shoriful Islam,9.3,0,2,5.36,33,1,0,Bangladesh
Taskin Ahmed,10,1,0,3.9,39,1,0,Bangladesh
Tanzim Hasan Sakib,10,0,3,8,27,2,0,Bangladesh
Shakib Al Hasan,10,0,2,5.7,23,0,0,Bangladesh
Mehidy Hasan Miraz,10,0,1,4.9,30,0,0,Bangladesh
Dilshan Madushanka,10,1,3,6.9,35,4,0,Sri-Lanka
Maheesh Theekshana,9,0,2,4.88,34,3,0,Sri-Lanka
Kasun Rajitha,4,0,0,11.75,7,0,0,Sri-Lanka
Dushmantha Chameera,8,0,0,6.75,25,2,0,Sri-Lanka
Angelo Mathews,7.1,1,2,4.88,24,1,0,Sri-Lanka
Dhananjaya de Silva,3,0,0,6.66,8,0,0,Sri-Lanka
Mitchell Starc,9,0,1,7.77,26,5,0,Australia
Josh Hazlewood,9,0,2,4.33,30,1,0,Australia
Glenn Maxwell,10,0,1,5.5,24,0,1,Australia
Pat Cummins,8,0,0,5.87,25,1,0,Australia
Adam Zampa,10,0,1,5.8,22,2,0,Australia
Travis Head,3,0,0,5,7,0,0,Australia
Marcus Stoinis,1,0,0,2,4,0,0,Australia
Mujeeb Ur Rahman,8.5,1,0,8.15,28,0,0,Afghanistan
Naveen-ul-Haq,9,0,2,5.22,34,1,0,Afghanistan
Azmatullah Omarzai,7,1,2,7.42,25,1,0,Afghanistan
Rashid Khan,10,0,2,4.4,36,3,0,Afghanistan
Noor Ahmad,10,1,0,5.3,36,1,0,Afghanistan
Mohammad Nabi,2,0,0,10,6,0,0,Afghanistan
Aryan Dutt,10,0,2,6.7,30,1,1,Netherlands
Logan van Beek,10,0,2,8.8,25,10,0,Netherlands
Paul van Meekeren,10,0,1,5.7,28,5,0,Netherlands
Bas de Leede,10,0,3,7.4,26,0,0,Netherlands
Roelof van der Merwe,3,0,0,7.33,6,0,0,Netherlands
Colin Ackermann,7,0,0,4.42,15,0,0,Netherlands
Chris Woakes,7,0,1,2.71,33,2,0,England
David Willey,7,2,2,2.71,33,0,0,England
Gus Atkinson,7,0,0,5.85,25,1,0,England
Moeen Ali,8.2,0,3,5.04,23,0,0,England
Adil Rashid,8,0,3,6.75,22,1,0,England
Trent Boult,10,3,3,3.7,45,3,0,New-Zealand
Tim Southee,8,0,1,6.5,29,0,0,New-Zealand
Lockie Ferguson,10,2,2,3.5,43,0,0,New-Zealand
Mitchell Santner,10,2,2,2.2,45,0,0,New-Zealand
Rachin Ravindra,7.4,0,2,2.73,28,0,0,New-Zealand
Glenn Phillips,1,0,0,3,3,0,0,New-Zealand
Dilshan Madushanka,6.2,0,0,9.15,16,1,0,Sri-Lanka
Maheesh Theekshana,7,0,1,6.14,24,0,0,Sri-Lanka
Dhananjaya de Silva,2,0,0,11,3,0,0,Sri-Lanka
Dushmantha Chameera,4,1,1,5,17,0,0,Sri-Lanka
Angelo Mathews,4,0,2,7.25,10,1,0,Sri-Lanka
Kagiso Rabada,10,0,0,4,37,0,0,South-Africa
Lungi Ngidi,8.3,0,2,8.11,28,6,0,South-Africa
Aiden Markram,4.3,0,0,5.55,13,0,0,South-Africa
Gerald Coetzee,10,1,4,4.4,35,2,0,South-Africa
Keshav Maharaj,10,1,2,2.5,41,2,0,South-Africa
Andile Phehlukwayo,7,0,1,5.14,20,0,0,South-Africa
Mujeeb Ur Rahman,10,0,1,5.1,33,1,0,Afghanistan
Naveen-ul-Haq,6.3,0,0,8,16,1,0,Afghanistan
Mohammad Nabi,10,1,2,3.5,36,0,0,Afghanistan
Azmatullah Omarzai,1,0,0,8,3,0,0,Afghanistan
Rashid Khan,10,1,2,3.7,38,1,0,Afghanistan
Noor Ahmad,9,0,0,5.44,23,3,0,Afghanistan
Rahmat Shah,1,0,0,12,2,0,0,Afghanistan
Josh Hazlewood,7,1,0,3,29,0,0,Australia
Pat Cummins,8,0,0,7,22,4,0,Australia
Sean Abbott,10,0,2,6.1,29,0,1,Australia
Mitchell Marsh,4,0,0,12,8,2,1,Australia
Adam Zampa,10,0,2,3.2,39,0,0,Australia
Travis Head,6,0,0,5.5,14,0,0,Australia
Marcus Stoinis,5,0,1,9,4,2,0,Australia
Taskin Ahmed,10,0,1,6.1,30,1,0,Bangladesh
Mahedi Hasan,9,0,0,4.22,29,1,0,Bangladesh
Nasum Ahmed,10,0,0,8.5,21,1,0,Bangladesh
Mehidy Hasan Miraz,6,0,0,7.83,13,0,0,Bangladesh
Mustafizur Rahman,9.4,1,1,7.86,20,1,0,Bangladesh
Shaheen Shah Afridi,10,1,2,7.2,32,0,0,Pakistan
Haris Rauf,10,0,3,6.4,32,3,0,Pakistan
Iftikhar Ahmed,7,0,1,5.42,17,0,0,Pakistan
Mohammad Wasim,10,0,2,7.4,26,1,0,Pakistan
Shadab Khan,10,0,0,5.7,25,0,0,Pakistan
Agha Salman,3,0,0,8.33,7,0,0,Pakistan
David Willey,10,0,3,5.6,37,2,0,England
Chris Woakes,5.3,0,1,4.9,22,0,0,England
Adil Rashid,10,0,2,5.5,26,1,0,England
Gus Atkinson,8,0,2,5.62,29,2,0,England
Moeen Ali,10,0,2,6,27,0,0,England
Aryan Dutt,7,0,0,7.42,19,1,0,Netherlands
Logan van Beek,10,0,0,10.7,17,1,0,Netherlands
Colin Ackermann,3,0,0,8.33,5,1,0,Netherlands
Paul van Meekeren,10,0,1,9,19,2,1,Netherlands
Roelof van der Merwe,10,0,1,5.3,27,0,0,Netherlands
Bas de Leede,10,0,2,8.2,22,8,0,Netherlands
Jasprit Bumrah,9,1,2,3.66,35,1,0,India
Mohammed Siraj,6,1,2,4.83,23,1,0,India
Mohammed Shami,6,0,0,6.83,15,1,0,India
Kuldeep Yadav,10,1,2,4.1,39,0,0,India
Ravindra Jadeja,9,0,2,5.44,31,1,0,India
Virat Kohli,3,0,1,4.33,10,0,0,India
Shubman Gill,2,0,0,5.5,4,0,0,India
Suryakumar Yadav,2,0,0,8.5,5,0,0,India
Rohit Sharma,0.5,0,1,8.4,3,0,0,India
Trent Boult,10,0,1,8.6,26,2,0,New-Zealand
Tim Southee,10,0,3,10,20,1,0,New-Zealand
Mitchell Santner,10,1,0,5.1,29,0,0,New-Zealand
Lockie Ferguson,8,0,0,8.12,15,1,0,New-Zealand
Rachin Ravindra,7,0,0,8.57,13,2,0,New-Zealand
Glenn Phillips,5,0,0,6.6,11,0,0,New-Zealand
Jasprit Bumrah,10,1,1,6.4,32,6,0,India
Mohammed Siraj,9,0,1,8.66,26,3,0,India
Mohammed Shami,9.5,0,7,5.79,37,2,0,India
Ravindra Jadeja,10,0,0,6.3,29,0,1,India
Kuldeep Yadav,10,0,1,5.6,26,0,0,India
Mitchell Starc,10,1,3,3.4,46,4,0,Australia
Josh Hazlewood,8,3,2,1.5,39,0,0,Australia
Pat Cummins,9.4,0,3,5.27,32,2,0,Australia
Adam Zampa,7,0,0,7.85,21,0,0,Australia
Glenn Maxwell,10,0,0,3.5,35,0,0,Australia
Travis Head,5,0,2,4.2,19,1,0,Australia
Marco Jansen,4.2,0,0,8.07,18,4,0,South-Africa
Kagiso Rabada,6,0,1,6.83,24,1,1,South-Africa
Aiden Markram,8,1,1,2.87,34,1,0,South-Africa
Gerald Coetzee,9,0,2,5.22,35,1,1,South-Africa
Tabraiz Shamsi,10,0,2,4.2,36,5,0,South-Africa
Keshav Maharaj,10,0,1,2.4,39,0,0,South-Africa
Mitchell Starc,10,0,3,5.5,30,3,0,Australia
Josh Hazlewood,10,0,2,6,22,1,0,Australia
Glenn Maxwell,6,0,1,5.83,19,0,0,Australia
Pat Cummins,10,0,2,3.4,30,2,0,Australia
Adam Zampa,10,0,1,4.4,22,1,0,Australia
Mitchell Marsh,2,0,0,2.5,7,0,0,Australia
Travis Head,2,0,0,2,8,0,0,Australia
Jasprit Bumrah,9,2,2,4.77,37,0,0,India
Mohammed Shami,7,1,1,6.71,28,3,0,India
Ravindra Jadeja,10,0,0,4.3,29,1,0,India
Kuldeep Yadav,10,0,0,5.6,25,0,0,India
Mohammed Siraj,7,0,1,6.42,16,0,0,India
