BATTING,RUNS,FOURS,SIXES,STRICK RATE,BATTING_TEAM
Shoriful Islam,12,2,0,85.71,Bangladesh
Mustafizur Rahman,3,0,0,33.33,Bangladesh
Pathum Nissanka,51,7,1,83.6,Sri-Lanka
Kusal Perera,0,0,0,0,Sri-Lanka
Kusal Mendis wk ,122,14,6,158.44,Sri-Lanka
Sadeera Samarawickrama,108,11,2,121.34,Sri-Lanka
Charith Asalanka,1,0,0,33.33,Sri-Lanka
Dhananjaya de Silva,25,3,0,73.52,Sri-Lanka
Dasun Shanaka(c),12,0,0,66.66,Sri-Lanka
Dunith Wellalage,10,1,0,125,Sri-Lanka
Maheesh Theekshana,0,0,0,0,Sri-Lanka
Matheesha Pathirana,1,0,0,33.33,Sri-Lanka
Abdullah Shafique,113,10,3,109.7,Pakistan
Imam-ul-Haq,12,1,0,100,Pakistan
Babar Azam(c),10,1,0,66.66,Pakistan
Mohammad Rizwan wk ,131,8,3,108.26,Pakistan
Saud Shakeel,31,2,0,103.33,Pakistan
Iftikhar Ahmed,22,4,0,220,Pakistan
Rahmanullah Gurbaz wk ,21,3,1,75,Afghanistan
Ibrahim Zadran,22,4,0,78.57,Afghanistan
Rahmat Shah,16,3,0,72.72,Afghanistan
Hashmatullah Shahidi(c),80,8,1,90.9,Afghanistan
Azmatullah Omarzai,62,2,4,89.85,Afghanistan
Mohammad Nabi,19,1,0,70.37,Afghanistan
Najibullah Zadran,2,0,0,25,Afghanistan
Rashid Khan,16,1,1,133.33,Afghanistan
Mujeeb Ur Rahman,10,2,0,83.33,Afghanistan
Naveen-ul-Haq,9,1,0,112.5,Afghanistan
Rohit Sharma(c),131,16,5,155.95,India
Ishan Kishan,47,5,2,100,India
Virat Kohli,55,6,0,98.21,India
Shreyas Iyer,25,1,1,108.69,India
Quinton de Kock wk ,109,8,5,102.83,South-Africa
Temba Bavuma(c),35,2,0,63.63,South-Africa
Rassie van der Dussen,26,2,0,86.66,South-Africa
Aiden Markram,56,7,1,127.27,South-Africa
Heinrich Klaasen,29,3,0,107.4,South-Africa
David Miller,17,1,1,130.76,South-Africa
Marco Jansen,26,3,1,118.18,South-Africa
Kagiso Rabada,0,0,0,0,South-Africa
Keshav Maharaj,0,0,0,0,South-Africa
Mitchell Marsh,7,0,0,46.66,Australia
David Warner,13,2,0,48.14,Australia
Steven Smith,19,4,0,118.75,Australia
Marnus Labuschagne,46,3,0,62.16,Australia
Josh Inglis wk ,5,1,0,125,Australia
Glenn Maxwell,3,0,0,17.64,Australia
Marcus Stoinis,5,1,0,125,Australia
Mitchell Starc,27,3,0,52.94,Australia
Pat Cummins(c),22,4,0,104.76,Australia
Adam Zampa,11,1,0,68.75,Australia
Josh Hazlewood,2,0,0,100,Australia
Litton Das,0,0,0,0,Bangladesh
Tanzid Hasan,16,4,0,94.11,Bangladesh
Mehidy Hasan Miraz,30,4,0,65.21,Bangladesh
Najmul Hossain Shanto,7,1,0,87.5,Bangladesh
Shakib Al Hasan(c),40,3,2,78.43,Bangladesh
Mushfiqur Rahim wk ,66,6,2,88,Bangladesh
Towhid Hridoy,13,0,0,52,Bangladesh
Mahmudullah,41,2,2,83.67,Bangladesh
Taskin Ahmed,17,0,2,89.47,Bangladesh
Mustafizur Rahman,4,0,0,40,Bangladesh
Shoriful Islam,2,0,0,66.66,Bangladesh
Devon Conway,45,3,0,76.27,New-Zealand
Rachin Ravindra,9,2,0,69.23,New-Zealand
Kane Williamson(c),78,8,1,72.89,New-Zealand
